Address,ZipCode,Latitude,Longitude,Avg Price,Avg Sqft,Avg Price/Sqft
311 SW 13th St,32601,29.649057,-82.338943,854.0,935.5,0.91
3000 SW 35th Pl,32608,29.6236,-82.36716,709.0,1356.5,0.52
4000 SW 37th Blvd,32608,29.616148,-82.378658,479.0,375.0,1.28
3415 SW 39th Blvd,32608,29.616714,-82.3733,509.0,900.5,0.57
3700 SW 27th St,32608,29.616662,-82.363765,634.0,1170.0,0.54
2930 SW 23rd Ter,32608,29.624578,-82.359783,850.0,600.0,1.42
3718 SW 24th Ave,32607,29.631346,-82.379507,767.0,1925.0,0.4
3461 SW 2nd Ave,32607,29.647995,-82.374755,755.0,876.0,0.86
4400 SW 20th Ave,32607,29.635859,-82.387616,646.5,1267.0,0.51
4117 SW 20th Ave,32607,29.632564,-82.386186,810.0,570.0,1.42
2777 SW Archer Rd,32608,29.628754,-82.364193,781.5,965.5,0.81
3205 NW 83rd St,32606,29.683541,-82.426741,461.5,1349.5,0.34
3801 SW 13th St,32608,29.617917,-82.338644,674.0,1225.0,0.55
2800 SW 35th Pl,32608,29.622903,-82.36472,629.0,1210.0,0.52
1601 SW 51st Ter,32607,29.63733,-82.39614,536.5,1154.5,0.46
1000 SW 62nd Blvd,32607,29.642184,-82.40097,521.5,1083.0,0.48
1231 SW 3rd Ave,32601,29.648874,-82.337948,659.5,1150.0,0.57
3500 SW 19th Ave,32607,29.6359,-82.37506,707.0,1198.5,0.59
1015 NW 21st Ave,32609,29.671103,-82.335212,874.0,1190.5,0.73
6400 SW 20th Ave,32607,29.64016,-82.41128,885.0,717.0,1.23
3600 Windmeadows Blvd,32608,29.629153,-82.37584,799.0,425.0,1.88
321 NW 21st Ln,32609,29.67268,-82.32937,814.0,523.0,1.56
708 SW 16th Ave,32601,29.6378,-82.33352,775.0,850.0,0.91
6929 W University Ave,32607,29.651976,-82.416021,820.0,576.0,1.42
3751 SW 20th Ave,32607,29.633145,-82.379791,787.0,500.0,1.57
1303 SW 13th St,32608,29.63885,-82.33857,878.0,879.5,1.0
1902 SW 42nd Way,32607,29.635485,-82.388752,887.5,750.0,1.18
3316 SW 41st Pl,32608,29.61598,-82.37157,854.0,469.0,1.82
3010 SW 23rd Ter,32608,29.62441,-82.35752,849.0,580.0,1.46
1405 SW 10th Ter,32601,29.637897,-82.334891,819.0,575.0,1.42
1901 SW 40th Ter,32607,29.634959,-82.384396,762.5,700.0,1.09
117 SE 16th Ave,32601,29.631403,-82.325633,850.0,874.0,0.97
5500 SW Archer Rd,32608,29.60939,-82.40224,795.0,1001.0,0.79
6938 SW 45th Ave,32608,29.613359,-82.417557,850.0,1100.0,0.77
